Species,Date,JulianDay,JulDay,Lake,Total,PropBrood,PropAdBrood,PropAsexAdBrood
Ceriodaphnia,12-Sep-14,2014255,255,Appleton,3,0,0,0
Dentifera,18-Jul-14,2014199,199,Appleton,327,0.003058104,0.005952381,0.005988024
Dentifera,31-Jul-14,2014212,212,Appleton,204,0,0,0
Dentifera,13-Aug-14,2014225,225,Appleton,229,0,0,0
Dentifera,28-Aug-14,2014240,240,Appleton,237,0.004219409,0.011363636,0.011494253
Dentifera,12-Sep-14,2014255,255,Appleton,225,0,0,0
Dentifera,26-Sep-14,2014269,269,Appleton,205,0.009756098,0.02173913,0.022222222
Dentifera,7-Oct-14,2014280,280,Appleton,282,0.039007092,0.070512821,0.075862069
Dentifera,24-Oct-14,2014297,297,Appleton,238,0,0,0
Dentifera,4-Nov-14,2014308,308,Appleton,216,0,0,0
Dubia,18-Jul-14,2014199,199,Appleton,3,0,0,0
Dubia,31-Jul-14,2014212,212,Appleton,17,0,0,0
Dubia,13-Aug-14,2014225,225,Appleton,2,0,0,0
Dubia,28-Aug-14,2014240,240,Appleton,45,0,0,0
Dubia,12-Sep-14,2014255,255,Appleton,35,0,0,0
Dubia,26-Sep-14,2014269,269,Appleton,185,0.005405405,0.00952381,0.009615385
Dubia,7-Oct-14,2014280,280,Appleton,54,0,0,0
Dubia,24-Oct-14,2014297,297,Appleton,83,0,0,0
Dubia,4-Nov-14,2014308,308,Appleton,143,0,0,0
Parvula,13-Aug-14,2014225,225,Appleton,2,0,0,0
Pulicaria,18-Jul-14,2014199,199,Appleton,233,0.008583691,0.017094017,0.01754386
Pulicaria,31-Jul-14,2014212,212,Appleton,226,0,0,0
Pulicaria,13-Aug-14,2014225,225,Appleton,247,0,0,0
Pulicaria,28-Aug-14,2014240,240,Appleton,403,0,0,0
Pulicaria,12-Sep-14,2014255,255,Appleton,200,0,0,0
Pulicaria,26-Sep-14,2014269,269,Appleton,215,0,0,0
Pulicaria,7-Oct-14,2014280,280,Appleton,347,0.002881844,0.014925373,0.015151515
Pulicaria,24-Oct-14,2014297,297,Appleton,91,0,0,0
Retrocurva,18-Jul-14,2014199,199,Appleton,258,0.015503876,0.038461538,0.04
Retrocurva,31-Jul-14,2014212,212,Appleton,164,0,0,0
Retrocurva,13-Aug-14,2014225,225,Appleton,61,0,0,0
Retrocurva,28-Aug-14,2014240,240,Appleton,143,0.006993007,0.010869565,0.010989011
Retrocurva,12-Sep-14,2014255,255,Appleton,97,0,0,0
Retrocurva,26-Sep-14,2014269,269,Appleton,217,0.004608295,0.009433962,0.00952381
Retrocurva,7-Oct-14,2014280,280,Appleton,192,0,0,0
Retrocurva,24-Oct-14,2014297,297,Appleton,226,0,0,0
Retrocurva,4-Nov-14,2014308,308,Appleton,262,0.003816794,0.009090909,0.009345794
Ambigua,18-Jul-14,2014199,199,Bishop,10,0,0,0
Ambigua,31-Jul-14,2014212,212,Bishop,3,0,0,0
Ambigua,13-Aug-14,2014225,225,Bishop,12,0,0,0
Ambigua,28-Aug-14,2014240,240,Bishop,7,0,0,0
Ambigua,12-Sep-14,2014255,255,Bishop,15,0,0,0
Ambigua,26-Sep-14,2014269,269,Bishop,1,0,0,0
