Treatment	Rep	Day.Death	Censored	Sum.Offspring	Did.Clear
Infected	1	36	1	0	0
Infected	2	36	1	8	1
Infected	3	12	1	0	0
Infected	4	17	1	0	0
Infected	5	3	1	0	0
Infected	6	36	1	0	0
Infected	7	36	1	0	0
Infected	8	10	1	0	0
Infected	9	10	1	0	0
Infected	10	22	1	0	0
Infected	11	10	1	0	0
Infected	12	36	1	0	0
Infected	13	36	1	3	1
Infected	14	36	1	0	0
Infected	15	36	1	0	0
Infected	16	12	1	0	0
Infected	17	36	1	0	0
Infected	18	36	1	0	0
Infected	19	8	1	0	0
Infected	20	22	1	0	0
Infected	21	36	1	0	0
Infected	22	36	1	0	0
Infected	23	3	1	0	0
Infected	24	3	1	0	0
Infected	25	3	1	0	0
Uninfected	1	36	0	5	0
Uninfected	3	33	1	16	0
Uninfected	4	36	1	42	0
Uninfected	6	26	1	29	0
Uninfected	7	36	1	22	0
Uninfected	8	22	1	8	0
Uninfected	9	17	1	16	0
Uninfected	10	36	0	56	0
Uninfected	11	33	1	42	0
Uninfected	12	22	1	28	0
Uninfected	13	29	1	28	0
Uninfected	14	31	1	12	0
Uninfected	15	33	1	33	0
Uninfected	17	33	1	9	0
Uninfected	18	29	1	15	0
Uninfected	19	36	1	48	0
Uninfected	20	26	1	10	0
Uninfected	22	33	1	59	0
Uninfected	23	36	0	31	0
Uninfected	24	3	1	56	0
Uninfected	25	36	0	42	0
Uninfected	26	33	1	42	0
Uninfected	27	33	1	47	0
Uninfected	29	36	1	63	0
Uninfected	30	24	1	19	0
Uninfected	31	26	1	20	0
Uninfected	33	36	0	33	0
Uninfected	34	31	1	27	0
Uninfected	36	33	1	17	0
Uninfected	37	31	1	19	0
Uninfected	38	3	1	22	0
Uninfected	39	36	0	11	0
Uninfected	40	15	1	34	0
