Treatment,Rep,Day.Death,Censored,Sum.Offspring,Did.Clear
Infected Dent,1,17,1,1,1
Infected Dent,3,5,1,0,0
Infected Dent,4,19,1,5,1
Infected Dent,6,8,1,0,0
Infected Dent,7,8,1,0,0
Infected Dent,8,16,1,0,0
Infected Dent,9,5,1,0,0
Infected Dent,10,5,1,0,0
Infected Dent,11,8,1,0,0
Infected Dent,12,10,1,0,0
Infected Dent,13,5,1,0,0
Infected Dent,14,16,1,0,0
Infected Dent,15,9,1,0,0
Uninfected Dent,1,19,1,6,0
Uninfected Dent,2,10,1,5,0
Uninfected Dent,3,16,1,4,0
Uninfected Dent,4,16,1,0,0
Uninfected Dent,5,24,0,20,0
Uninfected Dent,6,16,1,5,0
Uninfected Dent,7,24,0,19,0
Uninfected Dent,8,17,1,12,0
Uninfected Dent,9,10,1,6,0
Uninfected Dent,10,5,1,3,0
Uninfected Dent,11,16,1,4,0
Uninfected Dent,12,5,1,7,0
Uninfected Dent,13,5,1,5,0
Uninfected Dent,14,5,1,5,0
Infected Retro,1,8,1,0,0
Infected Retro,2,5,1,0,0
Infected Retro,3,10,0,0,0
Infected Retro,4,10,1,4,1
Infected Retro,5,16,1,4,1
Infected Retro,6,16,1,9,1
Infected Retro,7,8,1,1,1
Infected Retro,8,8,1,0,0
Infected Retro,9,8,1,0,0
Infected Retro,10,8,1,0,0
Infected Retro,11,5,1,0,0
Infected Retro,12,5,1,0,0
Infected Retro,13,8,1,2,1
Infected Retro,14,8,1,0,0
Infected Retro,15,16,1,0,0
Uninfected Retro,1,8,1,0,0
Uninfected Retro,2,16,1,10,0
Uninfected Retro,3,8,1,1,0
Uninfected Retro,4,5,1,2,0
Uninfected Retro,5,8,1,3,0
Uninfected Retro,6,5,1,1,0
Uninfected Retro,7,8,1,1,0
Uninfected Retro,8,5,1,3,0
Uninfected Retro,9,17,1,2,0
Uninfected Retro,10,10,1,5,0
Uninfected Retro,11,5,1,3,0
Uninfected Retro,12,17,1,7,0
Uninfected Retro,13,7,1,9,0
Uninfected Retro,14,7,1,3,0
Uninfected Retro,15,7,1,3,0
